Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,3,BERGEN,1760,GLEN ROCK,70,Richard E. Byrd E.S.,5,NA,16,20,,,,,1,1,,,0,0,,,38,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,70,Richard E. Byrd E.S.,UG,NA,5,1,,,,,,,,,0,0,,,6,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,70,Richard E. Byrd E.S.,55,NA,124,101,,,,2,3,6,,,0,1,,,237,,,3,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,KH,NA,19,14,,,1,,1,3,,,0,0,,1,39,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,1,NA,23,19,1,2,,2,3,2,,,0,0,,,52,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,2,NA,35,38,2,,3,1,2,2,,,0,0,,,83,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,3,NA,25,21,,2,1,,1,1,,,0,0,,,51,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,4,NA,17,33,1,,,1,2,2,,,0,0,,,56,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,5,NA,24,25,1,,,,1,1,,,0,0,,,52,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,UG,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,80,Central E.S.,55,NA,144,150,5,4,5,4,10,11,,,0,0,,1,334,6,,3,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,KH,NA,9,10,,,,,3,2,,,0,0,2,3,29,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,1,NA,24,16,,,,1,6,3,,,0,0,,,50,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,2,NA,21,17,,,,,4,4,,,0,0,,,46,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,3,NA,19,16,,,,,5,4,,,0,0,,,44,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,4,NA,14,21,,,1,1,5,7,,1,1,0,,1,52,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,5,NA,21,21,1,,,,7,7,,,0,0,,,57,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,UG,NA,7,6,1,,,,,1,,,0,0,,,15,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,90,Clara E. Coleman E.S.,55,NA,115,107,2,,1,2,30,28,,1,1,0,2,4,293,,,12,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,KH,NA,61,51,,,2,1,6,10,,,0,0,4,4,139,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,1,NA,87,66,1,2,2,5,12,6,,,0,1,,,182,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,2,NA,83,96,2,,6,1,8,11,,,0,0,,2,209,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,3,NA,82,66,1,2,1,,8,12,,,0,0,,,172,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,4,NA,80,84,1,,1,5,12,13,,1,1,0,1,1,200,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,5,NA,89,85,2,,1,,16,12,,,0,0,2,,207,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,6,NA,72,71,1,2,3,1,10,15,1,,0,0,,,176,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,7,NA,92,77,1,,4,1,5,7,,,0,0,,,187,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,8,NA,96,83,1,,2,5,11,15,,,0,0,1,,214,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,9,NA,76,69,2,1,2,3,6,12,,,0,0,,,171,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,10,NA,71,65,1,,3,4,13,11,1,,0,1,,,170,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,11,NA,80,83,,,5,6,11,17,,,0,0,,,202,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,12,NA,82,72,1,,4,3,8,13,,,0,0,,,183,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,UG,NA,15,8,2,,2,,,1,,,0,0,,,28,,,,
2010-2011,3,BERGEN,1760,GLEN ROCK,999,Total,55,NA,1066,976,16,7,38,35,126,155,2,1,1,2,8,7,2440,19,2,55,
2010-2011,3,BERGEN,1860,HACKENSACK,50,Hackensack H.S.,9,NA,70,44,91,77,131,107,9,14,,,1,0,,,544,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,50,Hackensack H.S.,10,NA,57.5,50.5,66,57.5,96,89,11,9,,1,1,1,,,439.5,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,50,Hackensack H.S.,11,NA,37,44,47,55,72,82,7,5,,,0,0,,,349,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,50,Hackensack H.S.,12,NA,60,49,54,59,93,85,16,9,,,0,0,,,425,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,50,Hackensack H.S.,UG,NA,2,,6,3,4,1,,,,,0,0,,,16,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,50,Hackensack H.S.,55,NA,226.5,187.5,264,251.5,396,364,43,37,,1,2,1,,,1773.5,594,140,125,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,PH,NA,4,2,3,4,8,5,3,1,,,4,0,,,34,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,KF,NA,1,3,5,2,7,7,5,7,,,0,0,,,37,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,1,NA,3,2,7,17,16,21,2,5,,,1,0,,,74,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,2,NA,3,,9,14,19,18,5,3,,,0,0,,,71,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,3,NA,3,7,14,12,17,17,4,2,,,0,0,,,76,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,4,NA,6,1,21,18,16,12,,1,,,0,0,,,75,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,UG,NA,4,3,10,3,35,9,6,1,,,0,0,,,71,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,90,Nellie K. Parker E.S.,55,NA,24,18,69,70,118,89,25,20,,,5,0,,,438,183,34,32,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,PF,NA,,,,1,,,,,,,0,0,,,1,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,PH,NA,3,1,7,1,7,10,3,1,,,0,0,,,33,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,KF,NA,5,1,5,7,25,10,3,2,,,0,0,,,58,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,1,NA,5,3,16,22,31,32,3,4,,,0,0,,,116,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,2,NA,3,5,26,26,29,22,1,2,,,0,0,,,114,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,3,NA,3,5,20,13,22,25,2,2,,,0,0,,,92,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,4,NA,11,6,16,21,23,16,,4,,,0,0,,,97,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,UG,NA,2,,1,1,12,4,1,,,,0,0,,,21,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,100,Fairmount E.S.,55,NA,32,21,91,92,149,119,13,15,,,0,0,,,532,225,55,25,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,PH,NA,,1,2,3,9,7,3,3,,1,0,0,,,29,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,KF,NA,4,1,4,3,10,13,7,3,,,0,0,,,45,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,1,NA,3,1,9,12,22,32,7,3,,,0,0,,,89,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,2,NA,3,1,11,14,25,25,4,7,,,0,1,,,91,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,3,NA,4,5,9,6,32,34,4,6,,,0,0,,,100,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,4,NA,3,,8,14,22,26,2,7,,1,0,0,,,83,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,UG,NA,3,,7,,22,2,,3,,,0,0,,,37,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,110,Fanny M. Hillers E.S.,55,NA,20,9,50,52,142,139,27,32,,2,0,1,,,474,256,33,44,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,PH,NA,2,1,,3,14,13,2,,,,0,0,,,35,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,KF,NA,1,1,3,3,15,12,,2,,,1,1,,,39,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,1,NA,5,1,4,10,28,33,1,1,,,2,1,,,86,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,2,NA,,1,1,5,37,36,2,,,,0,0,,,82,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,3,NA,1,3,4,4,28,36,1,,,,0,1,,,78,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,4,NA,3,1,5,11,26,26,4,1,,,0,0,,,77,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,UG,NA,,,,,15,5,,,,,0,0,,,20,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,120,Jackson Avenue E.S.,55,NA,12,8,17,36,163,161,10,4,,,3,3,,,417,267,30,41,
2010-2011,3,BERGEN,1860,HACKENSACK,130,Hackensack Middle School,7,NA,17,16,60,61,76,67,9,10,,,1,0,,,317,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,130,Hackensack Middle School,8,NA,15,12,57,51,70,88,5,5,,1,0,0,,,304,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,130,Hackensack Middle School,UG,NA,,,1,,3,2,1,,,,0,0,,,7,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,130,Hackensack Middle School,55,NA,32,28,118,112,149,157,15,15,,1,1,0,,,628,305,59,35,
2010-2011,3,BERGEN,1860,HACKENSACK,140,5 and 6 School,5,NA,10,11,45,58,94,77,5,12,,1,0,0,,,313,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,140,5 and 6 School,6,NA,8,15,53,47,79,73,6,9,,2,0,0,,,292,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,140,5 and 6 School,UG,NA,1,,2,1,5,3,1,,,,0,0,,,13,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,140,5 and 6 School,55,NA,19,26,100,106,178,153,12,21,,3,0,0,,,618,297,64,24,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,PF,NA,,,,1,,,,,,,0,0,,,1,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,PH,NA,9,5,12,11,38,35,11,5,,1,4,0,,,131,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,KF,NA,11,6,17,15,57,42,15,14,,,1,1,,,179,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,1,NA,16,7,36,61,97,118,13,13,,,3,1,,,365,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,2,NA,9,7,47,59,110,101,12,12,,,0,1,,,358,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,3,NA,11,20,47,35,99,112,11,10,,,0,1,,,346,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,4,NA,23,8,50,64,87,80,6,13,,1,0,0,,,332,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,5,NA,10,11,45,58,94,77,5,12,,1,0,0,,,313,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,6,NA,8,15,53,47,79,73,6,9,,2,0,0,,,292,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,7,NA,17,16,60,61,76,67,9,10,,,1,0,,,317,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,8,NA,15,12,57,51,70,88,5,5,,1,0,0,,,304,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,9,NA,70,44,91,77,131,107,9,14,,,1,0,,,544,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,10,NA,57.5,50.5,66,57.5,96,89,11,9,,1,1,1,,,439.5,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,11,NA,37,44,47,55,72,82,7,5,,,0,0,,,349,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,12,NA,60,49,54,59,93,85,16,9,,,0,0,,,425,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,UG,NA,12,3,27,8,96,26,9,4,,,0,0,,,185,,,,
2010-2011,3,BERGEN,1860,HACKENSACK,999,Total,55,NA,365.5,297.5,709,719.5,1295,1182,145,144,,7,11,5,,,4880.5,2127,415,326,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,KF,NA,20,17,,,3,2,2,2,,,0,0,3,5,54,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,1,NA,22,28,,,1,,7,4,,,1,0,1,2,66,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,2,NA,25,36,,,1,2,4,3,,,0,0,1,2,74,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,3,NA,34,34,,,,1,4,4,,,0,0,2,,79,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,4,NA,29,32,,1,1,2,4,5,,1,0,0,3,,78,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,5,NA,35,22,1,,1,1,3,10,,1,0,1,2,1,78,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,6,NA,34,39,1,,1,1,5,2,,,1,1,3,1,89,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,7,NA,40,39,,1,,1,9,6,,,0,1,,1,98,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,8,NA,35,24,,,1,1,8,3,,,1,0,,1,74,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,UG,NA,1,,,,1,,,,,,0,0,,,2,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,50,Harrington Park E.S.,55,NA,275,271,2,2,10,11,46,39,,2,3,3,15,13,692,1,,11,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,KF,NA,20,17,,,3,2,2,2,,,0,0,3,5,54,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,1,NA,22,28,,,1,,7,4,,,1,0,1,2,66,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,2,NA,25,36,,,1,2,4,3,,,0,0,1,2,74,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,3,NA,34,34,,,,1,4,4,,,0,0,2,,79,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,4,NA,29,32,,1,1,2,4,5,,1,0,0,3,,78,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,5,NA,35,22,1,,1,1,3,10,,1,0,1,2,1,78,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,6,NA,34,39,1,,1,1,5,2,,,1,1,3,1,89,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,7,NA,40,39,,1,,1,9,6,,,0,1,,1,98,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,8,NA,35,24,,,1,1,8,3,,,1,0,,1,74,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,UG,NA,1,,,,1,,,,,,0,0,,,2,,,,
2010-2011,3,BERGEN,2050,HARRINGTON PARK,999,Total,55,NA,275,271,2,2,10,11,46,39,,2,3,3,15,13,692,1,,11,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,50,Hasbrouck Heights H.S.,9,NA,42,30,,4,15,15,9,13,,,0,0,,,128,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,50,Hasbrouck Heights H.S.,10,NA,46,30,4,1,19,15,8,13,,,0,0,,,136,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,50,Hasbrouck Heights H.S.,11,NA,33,36,2,1,8,8,12,14,,,0,0,,,114,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,50,Hasbrouck Heights H.S.,12,NA,43,24,4,5,13,6,6,2,,,0,0,,,103,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,50,Hasbrouck Heights H.S.,55,NA,164,120,10,11,55,44,35,42,,,0,0,,,481,32,4,6,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,55,Hasbrouck Heights Middle School,6,NA,55,59,2,,4,12,8,10,,,0,0,,,150,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,55,Hasbrouck Heights Middle School,7,NA,33,40,1,2,10,12,15,13,,,0,0,,,126,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,55,Hasbrouck Heights Middle School,8,NA,39,43,5,1,11,13,17,6,,1,0,0,,,136,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,55,Hasbrouck Heights Middle School,55,NA,127,142,8,3,25,37,40,29,,1,0,0,,,412,36,8,4,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,KF,NA,20,19,2,3,6,3,6,1,1,,0,0,,1,62,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,1,NA,24,21,1,,6,8,5,1,,,0,0,2,2,70,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,2,NA,20,21,1,2,6,5,6,4,,,0,0,1,1,67,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,3,NA,18,11,1,1,11,4,3,4,,,0,0,3,4,60,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,4,NA,21,11,1,,1,5,5,1,,,0,0,3,1,49,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,5,NA,18,19,3,2,5,6,7,,,,0,0,4,4,68,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,UG,NA,2,,,,1,1,1,2,,,0,0,1,,8,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,60,Euclid E.S.,55,NA,123,102,9,8,36,32,33,13,1,,0,0,14,13,384,36,16,5,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,PF,NA,2,5,,,2,1,3,1,,,0,0,,,14,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,KF,NA,23,20,,,8,8,4,6,,,0,0,,,69,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,1,NA,26,17,,1,6,6,4,2,,,0,0,,,62,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,2,NA,19,23,,2,10,6,4,3,,,0,0,,,67,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,3,NA,25,17,4,1,3,7,5,5,,,0,0,,,67,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,4,NA,23,16,2,,7,4,8,5,,,0,0,,,65,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,5,NA,17,15,,,11,9,7,3,,,0,0,,,62,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,UG,NA,2,3,,1,4,1,3,,,,0,0,,,14,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,80,Lincoln E.S.,55,NA,137,116,6,5,51,42,38,25,,,0,0,,,420,30,15,5,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,PF,NA,2,5,,,2,1,3,1,,,0,0,,,14,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,KF,NA,43,39,2,3,14,11,10,7,1,,0,0,,1,131,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,1,NA,50,38,1,1,12,14,9,3,,,0,0,2,2,132,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,2,NA,39,44,1,4,16,11,10,7,,,0,0,1,1,134,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,3,NA,43,28,5,2,14,11,8,9,,,0,0,3,4,127,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,4,NA,44,27,3,,8,9,13,6,,,0,0,3,1,114,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,5,NA,35,34,3,2,16,15,14,3,,,0,0,4,4,130,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,6,NA,55,59,2,,4,12,8,10,,,0,0,,,150,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,7,NA,33,40,1,2,10,12,15,13,,,0,0,,,126,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,8,NA,39,43,5,1,11,13,17,6,,1,0,0,,,136,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,9,NA,42,30,,4,15,15,9,13,,,0,0,,,128,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,10,NA,46,30,4,1,19,15,8,13,,,0,0,,,136,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,11,NA,33,36,2,1,8,8,12,14,,,0,0,,,114,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,12,NA,43,24,4,5,13,6,6,2,,,0,0,,,103,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,UG,NA,4,3,,1,5,2,4,2,,,0,0,1,,22,,,,
2010-2011,3,BERGEN,2080,HASBROUCK HEIGHTS,999,Total,55,NA,551,480,33,27,167,155,146,109,1,1,0,0,14,13,1697,134,43,20,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,1,NA,1,,,,,,,1,,,0,0,,,2,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,2,NA,,2,,,,,1,,,,0,0,,,3,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,3,NA,7,1,,,,,,,,,0,0,,,8,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,4,NA,19,16,,1,,,2,1,,,0,0,,,39,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,5,NA,18,23,,,,2,2,4,,,0,0,,,49,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,6,NA,17,18,,,,,2,7,,,0,0,,,44,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,7,NA,23,24,1,,,1,1,2,,,0,0,,,52,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,8,NA,35,13,,,,,5,4,,,0,0,,,57,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,UG,NA,1,1,,,,,,,,,0,0,,,2,,,,
2010-2011,3,BERGEN,2090,HAWORTH,50,Haworth E.S.,55,NA,121,98,1,1,,3,13,19,,,0,0,,,256,,,2,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,1,NA,1,,,,,,,1,,,0,0,,,2,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,2,NA,,2,,,,,1,,,,0,0,,,3,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,3,NA,7,1,,,,,,,,,0,0,,,8,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,4,NA,19,16,,1,,,2,1,,,0,0,,,39,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,5,NA,18,23,,,,2,2,4,,,0,0,,,49,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,6,NA,17,18,,,,,2,7,,,0,0,,,44,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,7,NA,23,24,1,,,1,1,2,,,0,0,,,52,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,8,NA,35,13,,,,,5,4,,,0,0,,,57,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,UG,NA,1,1,,,,,,,,,0,0,,,2,,,,
2010-2011,3,BERGEN,2090,HAWORTH,999,Total,55,NA,121,98,1,1,,3,13,19,,,0,0,,,256,,,2,
2010-2011,3,BERGEN,2180,HILLSDALE,10,Ann Blanche Smith E.S.,KF,NA,25,26,,,7,7,1,2,,,0,0,,1,69,,,,
2010-2011,3,BERGEN,2180,HILLSDALE,10,Ann Blanche Smith E.S.,1,NA,33,33,1,,3,8,2,2,,,0,0,3,,85,,,,
2010-2011,3,BERGEN,2180,HILLSDALE,10,Ann Blanche Smith E.S.,2,NA,40,25,,,6,3,3,5,,,0,0,,1,83,,,,
2010-2011,3,BERGEN,2180,HILLSDALE,10,Ann Blanche Smith E.S.,3,NA,28,30,1,1,2,7,,1,,,0,0,1,1,72,,,,
2010-2011,3,BERGEN,2180,HILLSDALE,10,Ann Blanche Smith E.S.,4,NA,37,44,,1,2,2,9,1,,,0,0,1,,97,,,,
2010-2011,3,BERGEN,2180,HILLSDALE,10,Ann Blanche Smith E.S.,55,NA,163,158,2,2,20,27,15,11,,,0,0,5,3,406,28,8,6,
2010-2011,3,BERGEN,2180,HILLSDALE,20,George G. White E.S.,5,NA,70,58,2,,3,7,3,8,,,0,0,2,2,155,,,,
2010-2011,3,BERGEN,2180,HILLSDALE,20,George G. White E.S.,6,NA,59,74,,,4,7,6,3,,,0,0,,,153,,,,
2010-2011,3,BERGEN,2180,HILLSDALE,20,George G. White E.S.,7,NA,64,70,,1,6,2,6,5,,,0,0,1,1,156,,,,
